house,battery,distance,max_output_house,current_capacity_battery,total_distance
86,4,12,41.68226663,695.5082082199999,435
142,4,12,40.55434782,736.0625560399999,447
42,5,12,64.4517609,522.4692970699999,459
76,5,12,50.35807729,572.8273743599999,471
18,1,13,49.84931475,506.81028539000005,484
99,1,13,58.39362925,565.20391464,497
126,1,13,54.8377261,620.04164074,510
127,1,13,36.67499817,656.71663891,523
2,2,13,44.09168174,612.41533512,536
40,2,13,49.57599547,661.99133059,549
67,2,13,38.40462319,700.39595378,562
129,2,13,52.8837846,753.27973838,575
148,2,13,38.40802103,791.68775941,588
145,3,13,56.32473588,478.48595515999995,601
25,4,13,64.50983467,800.5723907099999,614
93,4,13,38.33821095,838.9106016599999,627
138,4,13,55.9303441,894.8409457599998,640
144,4,13,58.83768219,953.6786279499998,653
39,5,13,57.01992312,629.84729748,666
43,1,14,39.91374306,696.63038197,680
102,1,14,46.87020086,743.50058283,694
107,1,14,47.63820126,791.13878409,708
120,3,14,41.48920914,519.9751643,722
105,4,14,36.64489815,990.3235260999999,736
119,5,14,45.8934274,675.7407248799999,750
68,1,15,64.1795134,855.31829749,765
79,1,15,58.6298162,913.94811369,780
117,2,15,57.5929688,849.28072821,795
7,3,15,45.9622578,565.9374220999999,810
140,3,15,50.75214489,616.6895669899999,825
19,4,15,61.0137363,1051.3372623999999,840
128,5,15,41.88875758,717.6294824599998,855
41,1,16,48.83351279,962.78162648,871
100,1,16,38.79808279,1001.57970927,887
134,1,16,51.50674585,1053.08645512,903
139,2,16,41.16116018,890.44188839,919
30,4,16,52.84858044,1104.1858428399999,935
132,5,16,48.28655559,765.9160380499999,951
61,1,17,61.57329114,1114.65974626,968
96,1,17,43.25342339,1157.91316965,985
17,2,17,39.38884807,929.83073646,1002
26,4,17,53.17296019,1157.3588030299998,1019
3,5,17,38.4723184,804.3883564499998,1036
101,5,17,35.44113109,839.8294875399998,1053
110,5,17,50.13812647,889.9676140099998,1070
92,1,18,57.36334288,1215.27651253,1088
104,1,18,52.89669021,1268.17320274,1106
146,1,18,54.95406591,1323.1272686500001,1124
6,2,18,55.71262043,985.54335689,1142
46,3,18,52.20518124,668.8947482299999,1160
1,4,18,48.76400191,1206.1228049399997,1178
91,4,18,49.04859791,1255.1714028499996,1196
130,4,18,44.36408371,1299.5354865599995,1214
31,5,18,37.73044496,927.6980589699998,1232
55,5,18,36.7394839,964.4375428699998,1250
34,1,19,47.33240149,1370.45967014,1269
51,1,19,39.31626881,1409.7759389500002,1288
109,1,19,62.12319013,1471.8991290800002,1307
112,3,19,39.51931013,708.4140583599999,1326
32,4,19,47.48157843,1347.0170649899994,1345
