house,battery,distance,max_output_house,current_capacity_battery
97,5,13,46.25506287,679.75566157
98,2,31,33.30314048,1282.70223644
99,4,29,70.41480105,1024.14954574
100,1,32,39.37298309,988.6038029900001
101,3,19,64.25603513,1095.52128743
102,2,12,66.45865072,1349.16088716
103,2,24,38.3766668,1387.53755396
104,1,39,26.65336877,1015.2571717600001
105,3,53,32.63123071,1128.15251814
106,2,62,68.63304898,1456.17060294
107,4,27,62.33504063,1086.48458637
108,3,55,41.71675352,1169.8692716599999
109,4,15,51.84271486,1138.32730123
110,5,67,29.90737428,709.66303585
111,3,43,58.40033018,1228.26960184
112,4,44,38.50460131,1176.83190254
113,1,13,37.81128037,1053.0684521300002
114,4,18,73.40226925,1250.2341717900001
115,4,13,33.56390131,1283.7980731
116,4,37,33.96614241,1317.76421551
117,3,70,63.30973309,1291.57933493
118,1,24,26.81272998,1079.8811821100003
119,2,24,47.29043731,1503.46104025
120,1,49,54.40644245,1134.2876245600003
121,3,22,67.12368936,1358.70302429
122,4,26,39.85726456,1357.62148007
123,4,40,29.43663895,1387.05811902
124,3,37,41.46231813,1400.1653424200001
125,1,6,69.53106382,1203.8186883800004
126,3,25,72.11411933,1472.27946175
127,1,8,41.23924682,1245.0579352000004
128,4,53,33.61818802,1420.67630704
129,5,28,44.9319234,754.59495925
130,4,12,50.53984719,1471.21615423
131,5,47,63.13649746,817.73145671
132,1,49,38.24420236,1283.3021375600003
133,1,32,76.1538049,1359.4559424600004
134,1,41,43.28587772,1402.7418201800003
135,1,14,60.8375359,1463.5793560800003
136,3,44,29.1671214,1501.4465831500002
137,1,26,43.0013272,1506.5806832800004
138,5,58,70.34144168,888.07289839
139,5,42,52.07076394,940.14366233
140,5,30,63.12900053,1003.27266286
141,5,46,29.86780761,1033.1404704699999
142,5,28,66.97873982,1100.11921029
143,5,50,42.32972013,1142.44893042
144,4,29,30.41692196,1501.63307619
145,5,51,74.26615041,1216.7150808299998
146,5,67,49.16852893,1265.88360976
147,5,21,71.35472201,1337.2383317699998
148,5,47,66.78438663,1404.0227183999998
149,5,41,56.65609954,1460.6788179399998
150,5,25,26.19979919,1486.8786171299998
total distance: 5449,costs grid:49041,costs batteries:25000,total costs:74041,
